map,day,month,year,date,wait_time_s,match_time_s,team_a_rounds,team_b_rounds,ping,kills,assists,deaths,mvps,hs_percent,points,result
Dust II,20.0,12.0,2017.0,20/12/2017,228.0,1229.0,10.0,2.0,104.0,5.0,1.0,7.0,1.0,40.0,13.0,Win
Dust II,19.0,12.0,2017.0,19/12/2017,59.0,2586.0,16.0,13.0,79.0,29.0,5.0,22.0,5.0,17.0,77.0,Win
Dust II,19.0,12.0,2017.0,19/12/2017,216.0,2890.0,16.0,14.0,80.0,24.0,3.0,20.0,3.0,25.0,60.0,Win
Dust II,18.0,12.0,2017.0,18/12/2017,33.0,2508.0,10.0,16.0,93.0,13.0,4.0,21.0,2.0,23.0,36.0,Lost
Inferno,18.0,12.0,2017.0,18/12/2017,16.0,2790.0,16.0,14.0,136.0,9.0,9.0,24.0,1.0,22.0,35.0,Lost
Dust II,18.0,12.0,2017.0,18/12/2017,274.0,2804.0,16.0,12.0,82.0,15.0,10.0,17.0,0.0,20.0,47.0,Win
Dust II,18.0,12.0,2017.0,18/12/2017,210.0,2177.0,16.0,7.0,80.0,13.0,5.0,19.0,2.0,15.0,40.0,Lost
Dust II,12.0,12.0,2017.0,12/12/2017,274.0,2882.0,15.0,15.0,89.0,20.0,7.0,23.0,3.0,20.0,50.0,Tie
Dust II,12.0,12.0,2017.0,12/12/2017,376.0,2603.0,15.0,15.0,111.0,27.0,6.0,21.0,3.0,22.0,69.0,Tie
Mirage,12.0,12.0,2017.0,12/12/2017,266.0,2284.0,5.0,16.0,90.0,19.0,4.0,12.0,4.0,10.0,51.0,Win
Mirage,12.0,12.0,2017.0,12/12/2017,354.0,2112.0,16.0,6.0,91.0,23.0,4.0,14.0,6.0,8.0,57.0,Win
Mirage,12.0,12.0,2017.0,12/12/2017,30.0,2730.0,15.0,15.0,173.0,19.0,5.0,22.0,4.0,5.0,56.0,Tie
Cache,10.0,12.0,2017.0,10/12/2017,272.0,2803.0,16.0,13.0,147.0,18.0,1.0,18.0,2.0,11.0,44.0,Win
Dust II,5.0,12.0,2017.0,5/12/2017,103.0,2243.0,16.0,9.0,101.0,11.0,2.0,22.0,0.0,27.0,27.0,Lost
Mirage,1.0,12.0,2017.0,1/12/2017,442.0,2265.0,7.0,16.0,85.0,11.0,4.0,14.0,1.0,36.0,30.0,Win
Dust II,30.0,11.0,2017.0,30/11/2017,143.0,2996.0,14.0,16.0,143.0,25.0,5.0,19.0,4.0,20.0,61.0,Win
Dust II,30.0,11.0,2017.0,30/11/2017,135.0,2069.0,16.0,6.0,237.0,11.0,3.0,20.0,1.0,27.0,25.0,Lost
Dust II,30.0,11.0,2017.0,30/11/2017,360.0,2013.0,16.0,5.0,112.0,10.0,2.0,14.0,0.0,40.0,24.0,Lost
Mirage,27.0,11.0,2017.0,27/11/2017,25.0,2214.0,16.0,9.0,0.0,2.0,1.0,8.0,0.0,0.0,5.0,Lost
Dust II,27.0,11.0,2017.0,27/11/2017,81.0,1963.0,7.0,16.0,222.0,14.0,0.0,17.0,2.0,42.0,28.0,Win
Dust II,26.0,11.0,2017.0,26/11/2017,124.0,1740.0,16.0,5.0,138.0,9.0,4.0,20.0,2.0,11.0,22.0,Lost
Dust II,26.0,11.0,2017.0,26/11/2017,27.0,2235.0,16.0,9.0,92.0,15.0,5.0,17.0,2.0,40.0,39.0,Win
Dust II,26.0,11.0,2017.0,26/11/2017,32.0,2477.0,12.0,16.0,89.0,22.0,7.0,17.0,4.0,13.0,60.0,Win
Dust II,26.0,11.0,2017.0,26/11/2017,65.0,2088.0,9.0,16.0,85.0,23.0,3.0,15.0,3.0,30.0,54.0,Win
Dust II,26.0,11.0,2017.0,26/11/2017,283.0,2216.0,16.0,11.0,82.0,17.0,1.0,16.0,1.0,29.0,41.0,Win
Dust II,25.0,11.0,2017.0,25/11/2017,253.0,2071.0,7.0,16.0,81.0,11.0,6.0,20.0,0.0,36.0,28.0,Lost
Dust II,24.0,11.0,2017.0,24/11/2017,23.0,2053.0,16.0,7.0,162.0,17.0,3.0,21.0,1.0,41.0,41.0,Lost
Dust II,23.0,11.0,2017.0,23/11/2017,210.0,2652.0,15.0,15.0,78.0,11.0,5.0,22.0,1.0,36.0,29.0,Tie
Dust II,22.0,11.0,2017.0,22/11/2017,228.0,2602.0,12.0,16.0,77.0,16.0,9.0,19.0,3.0,43.0,45.0,Win
Dust II,22.0,11.0,2017.0,22/11/2017,125.0,1608.0,16.0,7.0,78.0,9.0,4.0,16.0,0.0,11.0,24.0,Win
Dust II,20.0,11.0,2017.0,20/11/2017,67.0,2307.0,8.0,16.0,85.0,23.0,11.0,17.0,2.0,13.0,57.0,Win
Mirage,20.0,11.0,2017.0,20/11/2017,360.0,2201.0,16.0,8.0,83.0,13.0,4.0,20.0,0.0,23.0,33.0,Lost
Dust II,20.0,11.0,2017.0,20/11/2017,149.0,2924.0,12.0,16.0,104.0,15.0,4.0,22.0,0.0,18.0,41.0,Lost
Dust II,20.0,11.0,2017.0,20/11/2017,29.0,1758.0,4.0,16.0,0.0,6.0,0.0,11.0,0.0,14.0,12.0,Lost
Dust II,20.0,11.0,2017.0,20/11/2017,375.0,2838.0,12.0,16.0,80.0,14.0,5.0,22.0,2.0,42.0,38.0,Lost
Dust II,19.0,11.0,2017.0,19/11/2017,319.0,2701.0,10.0,16.0,84.0,29.0,5.0,17.0,6.0,27.0,75.0,Win
Dust II,19.0,11.0,2017.0,19/11/2017,162.0,1684.0,16.0,4.0,82.0,3.0,5.0,15.0,0.0,0.0,12.0,Win
Dust II,19.0,11.0,2017.0,19/11/2017,89.0,2362.0,16.0,10.0,90.0,21.0,3.0,19.0,2.0,47.0,47.0,Lost
Dust II,19.0,11.0,2017.0,19/11/2017,205.0,3011.0,16.0,13.0,83.0,21.0,8.0,26.0,2.0,19.0,57.0,Lost
Dust II,19.0,11.0,2017.0,19/11/2017,274.0,2464.0,16.0,10.0,87.0,24.0,5.0,20.0,5.0,33.0,62.0,Lost
Mirage,18.0,11.0,2017.0,18/11/2017,19.0,3214.0,16.0,13.0,116.0,22.0,7.0,20.0,5.0,4.0,61.0,Win
Dust II,18.0,11.0,2017.0,18/11/2017,231.0,2703.0,14.0,16.0,390.0,23.0,7.0,19.0,2.0,34.0,58.0,Lost
Dust II,18.0,11.0,2017.0,18/11/2017,172.0,2009.0,5.0,16.0,85.0,12.0,1.0,14.0,1.0,50.0,28.0,Lost
Cache,17.0,11.0,2017.0,17/11/2017,163.0,2382.0,16.0,11.0,90.0,19.0,5.0,17.0,0.0,21.0,46.0,Win
Dust II,16.0,11.0,2017.0,16/11/2017,53.0,2694.0,13.0,16.0,82.0,31.0,7.0,17.0,5.0,32.0,78.0,Win
Cache,16.0,11.0,2017.0,16/11/2017,149.0,1903.0,16.0,6.0,0.0,8.0,1.0,12.0,1.0,37.0,17.0,Lost
Dust II,16.0,11.0,2017.0,16/11/2017,30.0,2585.0,16.0,11.0,78.0,16.0,8.0,18.0,3.0,43.0,44.0,Win
Dust II,15.0,11.0,2017.0,15/11/2017,52.0,2209.0,8.0,16.0,254.0,24.0,1.0,16.0,2.0,37.0,52.0,Lost
Mirage,15.0,11.0,2017.0,15/11/2017,128.0,2723.0,16.0,10.0,85.0,26.0,2.0,20.0,3.0,30.0,72.0,Lost
Dust II,15.0,11.0,2017.0,15/11/2017,15.0,2365.0,10.0,16.0,164.0,12.0,6.0,18.0,2.0,25.0,31.0,Win
Dust II,15.0,11.0,2017.0,15/11/2017,249.0,2526.0,16.0,9.0,83.0,20.0,7.0,16.0,2.0,30.0,51.0,Win
Dust II,11.0,11.0,2017.0,11/11/2017,19.0,2472.0,16.0,13.0,0.0,4.0,2.0,7.0,1.0,50.0,10.0,Win
Dust II,11.0,11.0,2017.0,11/11/2017,40.0,1750.0,4.0,16.0,83.0,8.0,0.0,17.0,0.0,12.0,18.0,Lost
Dust II,11.0,11.0,2017.0,11/11/2017,10.0,2800.0,11.0,16.0,87.0,16.0,6.0,22.0,3.0,18.0,48.0,Win
Mirage,11.0,11.0,2017.0,11/11/2017,319.0,2746.0,13.0,16.0,84.0,22.0,7.0,23.0,2.0,18.0,59.0,Lost
Mirage,10.0,11.0,2017.0,10/11/2017,110.0,2306.0,16.0,9.0,83.0,4.0,5.0,21.0,0.0,0.0,19.0,Lost
Dust II,10.0,11.0,2017.0,10/11/2017,208.0,1923.0,5.0,16.0,82.0,19.0,4.0,13.0,5.0,10.0,52.0,Win
Dust II,10.0,11.0,2017.0,10/11/2017,221.0,2564.0,11.0,16.0,135.0,17.0,2.0,20.0,3.0,17.0,48.0,Lost
Dust II,10.0,11.0,2017.0,10/11/2017,17.0,2112.0,9.0,16.0,83.0,11.0,2.0,18.0,2.0,27.0,26.0,Lost
Dust II,8.0,11.0,2017.0,8/11/2017,217.0,2309.0,16.0,9.0,142.0,14.0,7.0,18.0,3.0,28.0,45.0,Win
Mirage,6.0,11.0,2017.0,6/11/2017,13.0,3018.0,16.0,13.0,79.0,16.0,4.0,25.0,4.0,18.0,50.0,Lost
Dust II,6.0,11.0,2017.0,6/11/2017,107.0,2562.0,10.0,16.0,85.0,5.0,3.0,24.0,0.0,40.0,13.0,Lost
Dust II,4.0,11.0,2017.0,4/11/2017,47.0,2823.0,13.0,16.0,86.0,9.0,5.0,20.0,2.0,22.0,29.0,Lost
Dust II,31.0,10.0,2017.0,31/10/2017,269.0,2836.0,16.0,10.0,77.0,11.0,5.0,21.0,2.0,27.0,34.0,Lost
Dust II,29.0,10.0,2017.0,29/10/2017,357.0,2793.0,16.0,14.0,88.0,15.0,3.0,18.0,3.0,26.0,46.0,Win
Dust II,29.0,10.0,2017.0,29/10/2017,12.0,2244.0,16.0,11.0,84.0,15.0,3.0,17.0,1.0,33.0,36.0,Win
Mirage,29.0,10.0,2017.0,29/10/2017,75.0,2716.0,16.0,10.0,85.0,16.0,1.0,15.0,3.0,25.0,45.0,Win
Mirage,28.0,10.0,2017.0,28/10/2017,31.0,2584.0,10.0,16.0,132.0,12.0,8.0,20.0,2.0,25.0,38.0,Lost
Dust II,28.0,10.0,2017.0,28/10/2017,207.0,3064.0,14.0,16.0,97.0,17.0,2.0,20.0,3.0,35.0,52.0,Win
Mirage,26.0,10.0,2017.0,26/10/2017,11.0,2239.0,6.0,16.0,82.0,15.0,2.0,11.0,2.0,20.0,38.0,Win
Mirage,26.0,10.0,2017.0,26/10/2017,54.0,2863.0,16.0,11.0,85.0,20.0,3.0,18.0,2.0,23.0,47.0,Lost
Dust II,26.0,10.0,2017.0,26/10/2017,267.0,1749.0,2.0,16.0,79.0,4.0,2.0,16.0,0.0,0.0,10.0,Lost
Dust II,25.0,10.0,2017.0,25/10/2017,322.0,2147.0,16.0,8.0,85.0,18.0,3.0,12.0,4.0,22.0,45.0,Win
Dust II,25.0,10.0,2017.0,25/10/2017,312.0,2484.0,12.0,16.0,88.0,13.0,1.0,15.0,3.0,23.0,31.0,Lost
Mirage,23.0,10.0,2017.0,23/10/2017,79.0,1736.0,16.0,4.0,91.0,18.0,0.0,8.0,2.0,47.0,36.0,Win
Dust II,23.0,10.0,2017.0,23/10/2017,297.0,2819.0,16.0,12.0,84.0,15.0,3.0,21.0,3.0,40.0,39.0,Lost
Dust II,22.0,10.0,2017.0,22/10/2017,494.0,2938.0,15.0,15.0,130.0,4.0,2.0,22.0,2.0,25.0,17.0,Tie
Dust II,21.0,10.0,2017.0,21/10/2017,282.0,2813.0,16.0,13.0,111.0,23.0,7.0,21.0,5.0,41.0,67.0,Lost
Dust II,21.0,10.0,2017.0,21/10/2017,207.0,2487.0,9.0,16.0,78.0,9.0,1.0,23.0,0.0,33.0,23.0,Lost
Dust II,20.0,10.0,2017.0,20/10/2017,42.0,2777.0,11.0,16.0,0.0,17.0,1.0,15.0,0.0,17.0,37.0,Lost
Dust II,20.0,10.0,2017.0,20/10/2017,10.0,2745.0,16.0,14.0,81.0,11.0,6.0,22.0,1.0,50.0,35.0,Lost
Dust II,20.0,10.0,2017.0,20/10/2017,22.0,1785.0,4.0,16.0,79.0,7.0,3.0,17.0,0.0,14.0,22.0,Lost
Mirage,20.0,10.0,2017.0,20/10/2017,70.0,2543.0,7.0,16.0,92.0,18.0,5.0,12.0,3.0,33.0,58.0,Win
Dust II,20.0,10.0,2017.0,20/10/2017,236.0,2236.0,9.0,16.0,77.0,12.0,5.0,21.0,0.0,30.0,36.0,Lost
Dust II,19.0,10.0,2017.0,19/10/2017,153.0,1739.0,5.0,16.0,120.0,12.0,7.0,13.0,2.0,16.0,33.0,Win
Dust II,19.0,10.0,2017.0,19/10/2017,329.0,2238.0,16.0,10.0,80.0,18.0,2.0,20.0,2.0,27.0,42.0,Lost
Dust II,19.0,10.0,2017.0,19/10/2017,165.0,2761.0,16.0,14.0,84.0,20.0,5.0,22.0,3.0,35.0,55.0,Lost
Dust II,19.0,10.0,2017.0,19/10/2017,90.0,2843.0,16.0,13.0,84.0,21.0,3.0,21.0,2.0,18.0,51.0,Lost
Dust II,19.0,10.0,2017.0,19/10/2017,179.0,1936.0,16.0,6.0,166.0,7.0,1.0,13.0,1.0,42.0,19.0,Win
Dust II,18.0,10.0,2017.0,18/10/2017,98.0,2262.0,16.0,9.0,87.0,19.0,4.0,15.0,1.0,21.0,48.0,Win
Dust II,17.0,10.0,2017.0,17/10/2017,29.0,2505.0,12.0,16.0,82.0,19.0,4.0,21.0,3.0,10.0,49.0,Lost
Dust II,17.0,10.0,2017.0,17/10/2017,291.0,1906.0,7.0,16.0,83.0,19.0,6.0,14.0,4.0,15.0,55.0,Win
Dust II,17.0,10.0,2017.0,17/10/2017,115.0,2225.0,16.0,8.0,100.0,15.0,9.0,21.0,1.0,13.0,44.0,Lost
Dust II,16.0,10.0,2017.0,16/10/2017,229.0,2288.0,10.0,16.0,84.0,19.0,2.0,17.0,4.0,15.0,45.0,Win
Dust II,16.0,10.0,2017.0,16/10/2017,307.0,2924.0,13.0,16.0,141.0,18.0,8.0,20.0,4.0,22.0,51.0,Win
Mirage,15.0,10.0,2017.0,15/10/2017,11.0,2739.0,16.0,12.0,422.0,14.0,1.0,19.0,2.0,13.0,35.0,Lost
Mirage,15.0,10.0,2017.0,15/10/2017,76.0,2378.0,16.0,10.0,81.0,12.0,6.0,21.0,2.0,16.0,38.0,Lost
Mirage,14.0,10.0,2017.0,14/10/2017,89.0,1619.0,2.0,16.0,0.0,6.0,2.0,14.0,1.0,33.0,14.0,Lost
Dust II,13.0,10.0,2017.0,13/10/2017,250.0,2220.0,16.0,10.0,130.0,12.0,3.0,14.0,3.0,16.0,34.0,Win
Dust II,13.0,10.0,2017.0,13/10/2017,258.0,3060.0,15.0,15.0,160.0,20.0,4.0,22.0,2.0,30.0,48.0,Tie
Dust II,13.0,10.0,2017.0,13/10/2017,180.0,2573.0,16.0,11.0,384.0,15.0,7.0,22.0,1.0,40.0,37.0,Lost
Dust II,12.0,10.0,2017.0,12/10/2017,302.0,2240.0,9.0,16.0,85.0,21.0,3.0,11.0,7.0,19.0,58.0,Win
Dust II,5.0,10.0,2017.0,5/10/2017,459.0,2922.0,15.0,15.0,0.0,5.0,2.0,10.0,0.0,40.0,13.0,Tie
Dust II,25.0,9.0,2017.0,25/9/2017,293.0,2973.0,15.0,15.0,0.0,18.0,5.0,20.0,4.0,27.0,54.0,Tie
Dust II,22.0,9.0,2017.0,22/9/2017,262.0,2447.0,10.0,16.0,92.0,22.0,4.0,20.0,3.0,36.0,51.0,Lost
Dust II,22.0,9.0,2017.0,22/9/2017,39.0,1759.0,7.0,16.0,88.0,11.0,10.0,11.0,0.0,54.0,36.0,Win
Mirage,22.0,9.0,2017.0,22/9/2017,354.0,3000.0,13.0,16.0,89.0,15.0,5.0,22.0,1.0,33.0,46.0,Lost
Mirage,22.0,9.0,2017.0,22/9/2017,298.0,2443.0,9.0,16.0,96.0,18.0,4.0,19.0,4.0,11.0,51.0,Lost
Dust II,22.0,9.0,2017.0,22/9/2017,382.0,2356.0,16.0,7.0,103.0,18.0,6.0,17.0,1.0,27.0,48.0,Lost
Dust II,22.0,9.0,2017.0,22/9/2017,541.0,2448.0,16.0,13.0,125.0,21.0,10.0,20.0,3.0,19.0,58.0,Win
Dust II,21.0,9.0,2017.0,21/9/2017,166.0,2694.0,16.0,12.0,96.0,18.0,2.0,21.0,2.0,33.0,44.0,Lost
Dust II,21.0,9.0,2017.0,21/9/2017,223.0,2686.0,14.0,16.0,99.0,14.0,6.0,21.0,2.0,50.0,37.0,Lost
Mirage,21.0,9.0,2017.0,21/9/2017,70.0,2005.0,16.0,7.0,90.0,13.0,4.0,17.0,1.0,15.0,36.0,Win
Dust II,21.0,9.0,2017.0,21/9/2017,184.0,2464.0,10.0,16.0,92.0,17.0,5.0,18.0,4.0,41.0,43.0,Win
Dust II,20.0,9.0,2017.0,20/9/2017,305.0,2198.0,16.0,8.0,267.0,22.0,4.0,11.0,4.0,31.0,61.0,Win
Dust II,20.0,9.0,2017.0,20/9/2017,372.0,1887.0,6.0,16.0,87.0,5.0,2.0,17.0,0.0,20.0,16.0,Lost
Dust II,20.0,9.0,2017.0,20/9/2017,284.0,2257.0,9.0,16.0,93.0,17.0,4.0,21.0,1.0,38.0,41.0,Lost
Dust II,19.0,9.0,2017.0,19/9/2017,59.0,2051.0,16.0,10.0,89.0,6.0,4.0,19.0,1.0,42.0,19.0,Lost
Dust II,19.0,9.0,2017.0,19/9/2017,134.0,2208.0,16.0,6.0,91.0,12.0,6.0,15.0,0.0,16.0,31.0,Win
Dust II,19.0,9.0,2017.0,19/9/2017,292.0,1516.0,4.0,16.0,89.0,7.0,0.0,14.0,0.0,14.0,14.0,Lost
Dust II,19.0,9.0,2017.0,19/9/2017,323.0,2595.0,16.0,12.0,90.0,12.0,7.0,18.0,0.0,41.0,37.0,Win
Inferno,19.0,9.0,2017.0,19/9/2017,405.0,1665.0,1.0,16.0,134.0,7.0,6.0,9.0,2.0,14.0,27.0,Win
Dust II,19.0,9.0,2017.0,19/9/2017,245.0,1695.0,2.0,16.0,100.0,14.0,3.0,6.0,2.0,14.0,38.0,Win
Dust II,11.0,9.0,2017.0,11/9/2017,36.0,1639.0,16.0,3.0,0.0,0.0,0.0,3.0,0.0,0.0,1.0,Lost
Dust II,11.0,9.0,2017.0,11/9/2017,305.0,2715.0,16.0,12.0,81.0,26.0,7.0,19.0,5.0,23.0,67.0,Win
Dust II,11.0,9.0,2017.0,11/9/2017,118.0,1921.0,5.0,16.0,94.0,18.0,1.0,18.0,1.0,16.0,37.0,Lost
Dust II,11.0,9.0,2017.0,11/9/2017,208.0,2573.0,15.0,15.0,98.0,17.0,2.0,20.0,1.0,17.0,39.0,Tie
Dust II,3.0,9.0,2017.0,3/9/2017,38.0,2064.0,8.0,16.0,0.0,6.0,3.0,9.0,1.0,50.0,16.0,Lost
Dust II,3.0,9.0,2017.0,3/9/2017,375.0,1347.0,16.0,1.0,113.0,13.0,0.0,15.0,1.0,42.0,26.0,Lost
Dust II,3.0,9.0,2017.0,3/9/2017,253.0,1992.0,7.0,16.0,97.0,13.0,3.0,12.0,3.0,15.0,32.0,Win
Mirage,1.0,9.0,2017.0,1/9/2017,45.0,2635.0,16.0,13.0,0.0,4.0,1.0,9.0,1.0,50.0,9.0,Lost
Dust II,1.0,9.0,2017.0,1/9/2017,43.0,2166.0,7.0,16.0,102.0,15.0,3.0,12.0,1.0,26.0,35.0,Win
Dust II,1.0,9.0,2017.0,1/9/2017,93.0,2225.0,9.0,16.0,0.0,15.0,2.0,17.0,1.0,40.0,32.0,Lost
Dust II,31.0,8.0,2017.0,31/8/2017,471.0,2940.0,16.0,13.0,87.0,13.0,8.0,19.0,0.0,23.0,42.0,Win
Dust II,31.0,8.0,2017.0,31/8/2017,325.0,1746.0,2.0,16.0,269.0,7.0,3.0,12.0,0.0,42.0,20.0,Lost
Dust II,31.0,8.0,2017.0,31/8/2017,121.0,1945.0,16.0,7.0,0.0,1.0,0.0,7.0,0.0,0.0,2.0,Lost
Dust II,31.0,8.0,2017.0,31/8/2017,204.0,2371.0,16.0,9.0,113.0,14.0,7.0,17.0,1.0,28.0,42.0,Win
Dust II,31.0,8.0,2017.0,31/8/2017,290.0,2344.0,16.0,9.0,87.0,16.0,1.0,17.0,0.0,25.0,37.0,Lost
Dust II,31.0,8.0,2017.0,31/8/2017,375.0,2121.0,16.0,8.0,88.0,14.0,2.0,17.0,1.0,21.0,38.0,Lost
Dust II,30.0,8.0,2017.0,30/8/2017,10.0,2586.0,16.0,12.0,95.0,13.0,5.0,22.0,0.0,7.0,37.0,Lost
Dust II,30.0,8.0,2017.0,30/8/2017,297.0,1811.0,7.0,16.0,263.0,8.0,3.0,16.0,1.0,25.0,23.0,Win
Dust II,30.0,8.0,2017.0,30/8/2017,87.0,2460.0,16.0,11.0,133.0,13.0,6.0,18.0,0.0,23.0,36.0,Win
Mirage,30.0,8.0,2017.0,30/8/2017,106.0,2563.0,16.0,9.0,0.0,5.0,2.0,11.0,0.0,0.0,16.0,Lost
Mirage,9.0,7.0,2017.0,9/7/2017,386.0,2475.0,14.0,16.0,85.0,13.0,4.0,21.0,2.0,46.0,35.0,Lost
Dust II,6.0,7.0,2017.0,6/7/2017,21.0,2586.0,16.0,9.0,164.0,22.0,6.0,13.0,5.0,21.0,58.0,Win
Dust II,6.0,7.0,2017.0,6/7/2017,57.0,1936.0,16.0,7.0,160.0,6.0,8.0,21.0,0.0,16.0,20.0,Lost
Mirage,6.0,7.0,2017.0,6/7/2017,17.0,1726.0,15.0,4.0,130.0,15.0,4.0,10.0,2.0,0.0,40.0,Win
Dust II,5.0,7.0,2017.0,5/7/2017,308.0,2423.0,11.0,16.0,92.0,13.0,4.0,15.0,1.0,23.0,33.0,Win
Dust II,25.0,6.0,2017.0,25/6/2017,85.0,2543.0,16.0,14.0,92.0,12.0,6.0,21.0,2.0,33.0,32.0,Lost
Dust II,24.0,6.0,2017.0,24/6/2017,179.0,1862.0,6.0,16.0,111.0,12.0,3.0,12.0,1.0,30.0,31.0,Win
Dust II,24.0,6.0,2017.0,24/6/2017,184.0,2067.0,7.0,16.0,108.0,14.0,4.0,14.0,0.0,42.0,35.0,Win
Dust II,23.0,6.0,2017.0,23/6/2017,21.0,2466.0,12.0,16.0,449.0,13.0,3.0,22.0,0.0,7.0,31.0,Lost
Dust II,23.0,6.0,2017.0,23/6/2017,163.0,2290.0,9.0,16.0,196.0,25.0,5.0,13.0,5.0,28.0,70.0,Win
Dust II,22.0,6.0,2017.0,22/6/2017,188.0,2291.0,8.0,16.0,0.0,0.0,0.0,5.0,0.0,0.0,2.0,Win
Dust II,22.0,6.0,2017.0,22/6/2017,86.0,3133.0,15.0,15.0,166.0,14.0,4.0,24.0,0.0,28.0,39.0,Tie
Dust II,22.0,6.0,2017.0,22/6/2017,167.0,1520.0,3.0,16.0,102.0,9.0,0.0,17.0,1.0,0.0,18.0,Lost
Dust II,22.0,6.0,2017.0,22/6/2017,148.0,2948.0,14.0,16.0,94.0,21.0,9.0,24.0,6.0,33.0,62.0,Win
Cache,21.0,6.0,2017.0,21/6/2017,11.0,2661.0,14.0,16.0,91.0,26.0,4.0,16.0,4.0,15.0,62.0,Win
Mirage,21.0,6.0,2017.0,21/6/2017,19.0,2944.0,15.0,15.0,89.0,20.0,7.0,24.0,1.0,20.0,52.0,Tie
Mirage,21.0,6.0,2017.0,21/6/2017,139.0,2205.0,16.0,8.0,92.0,12.0,7.0,19.0,2.0,0.0,41.0,Lost
Mirage,21.0,6.0,2017.0,21/6/2017,131.0,3603.0,15.0,15.0,90.0,16.0,6.0,18.0,2.0,18.0,40.0,Tie
Dust II,20.0,6.0,2017.0,20/6/2017,142.0,2480.0,16.0,9.0,95.0,20.0,4.0,21.0,2.0,35.0,44.0,Lost
Cache,20.0,6.0,2017.0,20/6/2017,74.0,2843.0,16.0,12.0,108.0,19.0,3.0,18.0,3.0,31.0,54.0,Win
Inferno,20.0,6.0,2017.0,20/6/2017,121.0,1798.0,16.0,4.0,0.0,2.0,1.0,2.0,1.0,0.0,5.0,Lost
Dust II,20.0,6.0,2017.0,20/6/2017,43.0,2367.0,11.0,16.0,94.0,13.0,5.0,18.0,3.0,7.0,42.0,Win
Dust II,20.0,6.0,2017.0,20/6/2017,126.0,1773.0,2.0,16.0,97.0,7.0,2.0,14.0,0.0,28.0,18.0,Lost
Mirage,19.0,6.0,2017.0,19/6/2017,135.0,2617.0,9.0,16.0,85.0,17.0,4.0,10.0,3.0,29.0,47.0,Win
Dust II,19.0,6.0,2017.0,19/6/2017,67.0,2220.0,16.0,5.0,95.0,9.0,7.0,19.0,1.0,11.0,33.0,Lost
Dust II,19.0,6.0,2017.0,19/6/2017,196.0,1755.0,3.0,16.0,93.0,19.0,3.0,10.0,2.0,36.0,46.0,Win
Mirage,19.0,6.0,2017.0,19/6/2017,138.0,3095.0,16.0,14.0,90.0,17.0,7.0,26.0,0.0,23.0,45.0,Win
Dust II,17.0,6.0,2017.0,17/6/2017,129.0,2325.0,10.0,16.0,100.0,18.0,3.0,22.0,1.0,27.0,43.0,Lost
Mirage,17.0,6.0,2017.0,17/6/2017,73.0,2791.0,14.0,16.0,95.0,24.0,8.0,20.0,5.0,16.0,73.0,Win
Dust II,17.0,6.0,2017.0,17/6/2017,149.0,2045.0,16.0,7.0,106.0,17.0,3.0,12.0,3.0,29.0,39.0,Win
Dust II,16.0,6.0,2017.0,16/6/2017,76.0,2361.0,16.0,9.0,97.0,17.0,4.0,19.0,4.0,23.0,44.0,Lost
Dust II,15.0,6.0,2017.0,15/6/2017,46.0,2856.0,16.0,12.0,67.0,17.0,5.0,22.0,1.0,11.0,40.0,Lost
Dust II,15.0,6.0,2017.0,15/6/2017,126.0,2689.0,16.0,14.0,68.0,20.0,2.0,21.0,2.0,20.0,45.0,Win
Mirage,15.0,6.0,2017.0,15/6/2017,44.0,2793.0,15.0,15.0,32.0,23.0,13.0,24.0,1.0,21.0,62.0,Tie
Cobblestone,15.0,6.0,2017.0,15/6/2017,136.0,1609.0,1.0,16.0,92.0,13.0,5.0,9.0,3.0,7.0,38.0,Win
Inferno,14.0,6.0,2017.0,14/6/2017,226.0,3172.0,16.0,13.0,90.0,20.0,3.0,19.0,0.0,35.0,46.0,Win
Mirage,13.0,6.0,2017.0,13/6/2017,317.0,2380.0,9.0,16.0,0.0,13.0,4.0,22.0,2.0,7.0,35.0,Lost
Mirage,13.0,6.0,2017.0,13/6/2017,116.0,2865.0,15.0,15.0,91.0,25.0,2.0,21.0,3.0,28.0,57.0,Tie
Mirage,12.0,6.0,2017.0,12/6/2017,26.0,2266.0,7.0,16.0,0.0,18.0,2.0,18.0,4.0,11.0,44.0,Lost
Mirage,12.0,6.0,2017.0,12/6/2017,197.0,2030.0,6.0,16.0,89.0,9.0,1.0,17.0,1.0,0.0,25.0,Lost
Dust II,12.0,6.0,2017.0,12/6/2017,229.0,2010.0,9.0,16.0,94.0,12.0,3.0,19.0,1.0,8.0,34.0,Lost
Dust II,11.0,6.0,2017.0,11/6/2017,57.0,2296.0,8.0,16.0,100.0,20.0,2.0,13.0,3.0,20.0,47.0,Win
Mirage,11.0,6.0,2017.0,11/6/2017,46.0,2546.0,12.0,16.0,93.0,17.0,4.0,24.0,1.0,11.0,44.0,Lost
Dust II,11.0,6.0,2017.0,11/6/2017,21.0,2147.0,9.0,16.0,84.0,14.0,4.0,16.0,2.0,28.0,36.0,Win
Dust II,11.0,6.0,2017.0,11/6/2017,138.0,1741.0,14.0,7.0,89.0,16.0,2.0,9.0,1.0,12.0,42.0,Win
Mirage,10.0,6.0,2017.0,10/6/2017,70.0,2755.0,14.0,16.0,90.0,20.0,9.0,22.0,2.0,15.0,55.0,Lost
